country,year,population,pop_repage,month,births,countrycode,TFR,CBR,GFR,modate
Australia,2012,22852644,5551124,1,25585.529296875,AUS,1.9299999,13.435047,55.308861,624
Australia,2012,22852644,5551124,2,25344.05078125,AUS,1.91,13.308246,54.786854,625
Australia,2012,22852644,5551124,3,25405.4609375,AUS,1.91,13.340493,54.919605,626
Australia,2012,22852644,5551124,4,25511.400390625,AUS,1.92,13.396122,55.148617,627
Australia,2012,22852644,5551124,5,25660.689453125,AUS,1.9299999,13.474514,55.471336,628
Australia,2012,22852644,5551124,6,25721.69921875,AUS,1.9299999,13.506551,55.603226,629
Australia,2012,22852644,5551124,7,25757.0703125,AUS,1.9299999,13.525124,55.679688,630
Australia,2012,22852644,5551124,8,25873.009765625,AUS,1.9400001,13.586004,55.930317,631
Australia,2012,22852644,5551124,9,25483.599609375,AUS,1.9,13.381524,55.08852,632
Australia,2012,22852644,5551124,10,26021.599609375,AUS,1.9400001,13.664029,56.251526,633
Australia,2012,22852644,5551124,11,26065.75,AUS,1.9400001,13.687213,56.346966,634
Australia,2012,22852644,5551124,12,25879.9609375,AUS,1.9299999,13.589654,55.945343,635
Australia,2013,23236270,5619732.5,1,25695.439453125,AUS,1.91,13.269999,54.86832,636
Australia,2013,23236270,5619732.5,2,25766.30078125,AUS,1.91,13.306594,55.01963,637
Australia,2013,23236270,5619732.5,3,25720.2890625,AUS,1.91,13.282832,54.921379,638
Australia,2013,23236270,5619732.5,4,25247.939453125,AUS,1.87,13.038895,53.912758,639
Australia,2013,23236270,5619732.5,5,25768.859375,AUS,1.91,13.307916,55.025093,640
Australia,2013,23236270,5619732.5,6,25772.990234375,AUS,1.9,13.310049,55.033916,641
Australia,2013,23236270,5619732.5,7,25213.58984375,AUS,1.86,13.021155,53.839409,642
Australia,2013,23236270,5619732.5,8,25278.509765625,AUS,1.85,13.054682,53.978035,643
Australia,2013,23236270,5619732.5,9,25294.470703125,AUS,1.85,13.062924,54.012115,644
Australia,2013,23236270,5619732.5,10,25076.099609375,AUS,1.8200001,12.95015,53.545822,645
Australia,2013,23236270,5619732.5,11,25513.609375,AUS,1.85,13.176096,54.480049,646
Australia,2013,23236270,5619732.5,12,25524.73046875,AUS,1.84,13.181839,54.503799,647
Australia,2014,23595600,5686089,1,24935.26953125,AUS,1.79,12.681314,52.623734,648
Australia,2014,23595600,5686089,2,26515.779296875,AUS,1.89,13.485114,55.959263,649
Australia,2014,23595600,5686089,3,25744.509765625,AUS,1.83,13.09287,54.331566,650
Australia,2014,23595600,5686089,4,25722.900390625,AUS,1.8200001,13.08188,54.285961,651
Australia,2014,23595600,5686089,5,25593.16015625,AUS,1.8099999,13.015898,54.012154,652
Australia,2014,23595600,5686089,6,25440.76953125,AUS,1.79,12.938396,53.690548,653
Australia,2014,23595600,5686089,7,25782.58984375,AUS,1.8099999,13.112236,54.41193,654
Australia,2014,23595600,5686089,8,25599.359375,AUS,1.8,13.019051,54.025238,655
Australia,2014,23595600,5686089,9,25768.140625,AUS,1.8099999,13.104888,54.381435,656
Australia,2014,23595600,5686089,10,25943.990234375,AUS,1.8200001,13.19432,54.752552,657
Australia,2014,23595600,5686089,11,25731.080078125,AUS,1.8099999,13.08604,54.303223,658
Australia,2014,23595600,5686089,12,25598.390625,AUS,1.8,13.018558,54.023193,659
Australia,2015,23948002,5755542,1,25506.080078125,AUS,1.8,12.78073,53.178825,660
Australia,2015,23948002,5755542,2,25277.1796875,AUS,1.78,12.666032,52.70158,661
Australia,2015,23948002,5755542,3,25181.599609375,AUS,1.78,12.618138,52.5023,662
Australia,2015,23948002,5755542,4,25102.720703125,AUS,1.78,12.578613,52.337841,663
Australia,2015,23948002,5755542,5,25158.5,AUS,1.78,12.606564,52.45414,664
Australia,2015,23948002,5755542,6,25048.26953125,AUS,1.78,12.551329,52.224316,665
Australia,2015,23948002,5755542,7,25773.419921875,AUS,1.83,12.914691,53.736214,666
Australia,2015,23948002,5755542,8,25623.16015625,AUS,1.8099999,12.839397,53.422932,667
Australia,2015,23948002,5755542,9,25444.83984375,AUS,1.8,12.750044,53.051144,668
Australia,2015,23948002,5755542,10,25529.859375,AUS,1.8,12.792646,53.228405,669
Australia,2015,23948002,5755542,11,25340.009765625,AUS,1.78,12.697515,52.832577,670
Australia,2015,23948002,5755542,12,25654.380859375,AUS,1.8,12.855042,53.488026,671
Australia,2016,24329964,5835696.5,1,25695.26953125,AUS,1.8,12.673394,52.837437,672
Australia,2016,24329964,5835696.5,2,26054.439453125,AUS,1.8200001,12.850544,53.576,673
Australia,2016,24329964,5835696.5,3,26025.810546875,AUS,1.8200001,12.836424,53.517128,674
Australia,2016,24329964,5835696.5,4,26364.650390625,AUS,1.84,13.003546,54.21389,675
Australia,2016,24329964,5835696.5,5,25944.349609375,AUS,1.8,12.796246,53.349621,676
Australia,2016,24329964,5835696.5,6,26091.5,AUS,1.8099999,12.868823,53.652206,677
Australia,2016,24329964,5835696.5,7,25865.490234375,AUS,1.79,12.757351,53.187462,678
Australia,2016,24329964,5835696.5,8,25439.69921875,AUS,1.76,12.547342,52.311905,679
Australia,2016,24329964,5835696.5,9,25741.9296875,AUS,1.78,12.696408,52.933384,680
Australia,2016,24329964,5835696.5,10,25577.9296875,AUS,1.77,12.61552,52.596149,681
Australia,2016,24329964,5835696.5,11,25328.099609375,AUS,1.76,12.492299,52.08242,682
Australia,2016,24329964,5835696.5,12,25343.9609375,AUS,1.76,12.500122,52.115036,683
Australia,2017,24731038,5921147,1,25446.529296875,AUS,1.76,12.347171,51.570812,684
Australia,2017,24731038,5921147,2,25096.16015625,AUS,1.74,12.177165,50.860741,685
Australia,2017,24731038,5921147,3,25157.80078125,AUS,1.74,12.207074,50.985664,686
Australia,2017,24731038,5921147,4,25230.76953125,AUS,1.75,12.24248,51.133545,687
Australia,2017,24731038,5921147,5,24954.33984375,AUS,1.73,12.108351,50.573322,688
Australia,2017,24731038,5921147,6,25178.8203125,AUS,1.75,12.217273,51.028263,689
Australia,2017,24731038,5921147,7,25094.25,AUS,1.74,12.176238,50.856869,690
Australia,2017,24731038,5921147,8,25314.33984375,AUS,1.76,12.28303,51.30291,691
Australia,2017,24731038,5921147,9,25126.58984375,AUS,1.75,12.19193,50.922409,692
Australia,2017,24731038,5921147,10,24881.890625,AUS,1.73,12.073196,50.426495,693
Australia,2017,24731038,5921147,11,24918.220703125,AUS,1.74,12.090825,50.500122,694
Australia,2017,24731038,5921147,12,25001.490234375,AUS,1.74,12.131228,50.66888,695
Australia,2018,25119706,5997824,1,25427.6796875,AUS,1.78,12.147123,50.87381,696
Australia,2018,25119706,5997824,2,25094.009765625,AUS,1.76,11.987724,50.206226,697
Australia,2018,25119706,5997824,3,24849.740234375,AUS,1.74,11.871034,49.71751,698
Australia,2018,25119706,5997824,4,24644.98046875,AUS,1.73,11.773217,49.307842,699
Australia,2018,25119706,5997824,5,24657.130859375,AUS,1.73,11.779022,49.332153,700
Australia,2018,25119706,5997824,6,24897.83984375,AUS,1.75,11.894011,49.813744,701
Australia,2018,25119706,5997824,7,24782.80078125,AUS,1.74,11.839056,49.583584,702
Australia,2018,25119706,5997824,8,24769.30078125,AUS,1.73,11.832607,49.556576,703
Australia,2018,25119706,5997824,9,24731.9296875,AUS,1.72,11.814754,49.481804,704
Australia,2018,25119706,5997824,10,24831.560546875,AUS,1.72,11.86235,49.681137,705
Australia,2018,25119706,5997824,11,25180.05078125,AUS,1.74,12.028828,50.378372,706
Australia,2018,25119706,5997824,12,25087.630859375,AUS,1.73,11.984677,50.193466,707
Australia,2019,25482714,6054164,1,24749.2109375,AUS,1.7,11.654588,49.05558,708
Australia,2019,25482714,6054164,2,25020.689453125,AUS,1.71,11.782429,49.593681,709
